time,low,high,open,close,volume
1517011200,10879.2,11638.69,11104.34,11459.71,90873.81
1517097600,11407.94,12064.19,11460.39,11767.74,87917.22
1517184000,11089.52,11860.29,11767.74,11233.95,80713.7
1517270400,9871.21,11263.7,11234.32,10107.26,164072.93
1517356800,9698.13,10377.96,10107.4,10226.86,122260.49
1517443200,8726.95,10280.84,10226.86,9114.72,208918.8
1517529600,7786.2,9147.93,9114.73,8870.82,322596.22
1517616000,8194.68,9504.37,8872.87,9251.27,139226.07
1517702400,7889.83,9400.99,9251.27,8218.05,164609.06
1517788800,6627.31,8391.29,8218.05,6937.08,341828.54
1517875200,5968.36,7932.38,6936.43,7701.25,495883.24
1517961600,7208.86,8572.68,7701.25,7592.72,271450.37
1518048000,7590.48,8643.94,7593.78,8260.69,193040.33
1518134400,7775.36,8743.2,8259.26,8696.83,162279.68
1518220800,8176.25,9081.49,8696.83,8569.29,155616.78
1518307200,7862.31,8573.35,8569.32,8084.61,123293.84
1518393600,8084.41,8997.34,8084.61,8911.27,124923.98
1518480000,8379.35,8955.15,8911.17,8544.69,98632.88
1518566400,8542.98,9508.22,8544.69,9485.64,133702.54
1518652800,9363.38,10223.58,9485.64,10033.75,168776.78
1518739200,9720.38,10303.14,10033.75,10188.73,105556.67
1518825600,10074.07,11119.45,10188.73,11097.21,123660.48
1518912000,10161.01,11288.34,11097.21,10417.23,154431.22
1518998400,10336.32,11265.96,10418.12,11182.28,108244.29
1519084800,11130.95,11802.23,11182.28,11256.43,142449.23
1519171200,10256.21,11295.58,11256.78,10481.66,183274.25
1519257600,9757.19,10941.57,10481.66,9847.96,175506.26
1519344000,9604.0,10420.67,9847.96,10175.51,139373.76
1519430400,9396.54,10528.0,10175.51,9705.73,125269.68
1519516800,9329.44,9873.79,9705.73,9610.11,82430.45
1519603200,9411.82,10457.51,9610.11,10326.5,117416.47
1519689600,10154.24,10879.38,10326.5,10594.76,99772.39
1519776000,10303.14,11067.76,10594.76,10334.44,105434.79
1519862400,10247.56,11090.3,10334.44,10929.37,88432.44
1519948800,10801.45,11191.94,10929.37,11043.12,77195.49
1520035200,11043.12,11530.66,11043.12,11465.36,71279.36
1520121600,11084.01,11539.79,11465.36,11504.42,61016.39
1520208000,11431.55,11694.15,11503.94,11440.73,68323.51
1520294400,10589.28,11441.65,11440.33,10735.45,109876.55
1520380800,9470.73,10913.7,10735.45,9928.56,183060.08
1520467200,9086.85,10119.21,9928.56,9316.72,154879.22
1520553600,8393.45,9433.38,9316.77,9252.76,233598.15
1520640000,8727.43,9518.62,9252.76,8797.27,117409.38
1520726400,8484.32,9735.64,8797.27,9544.84,149877.66
1520812800,8796.52,9907.41,9543.98,9142.15,152959.8
1520899200,8856.65,9486.12,9142.27,9160.12,133768.47
1520985600,7966.94,9360.66,9160.12,8217.7,161775.05
1521072000,7698.47,8432.12,8216.22,8268.41,187365.71
1521158400,7924.11,8616.63,8267.95,8283.23,129688.11
1521244800,7765.41,8360.64,8283.23,7883.45,111641.32
1521331200,7318.46,8299.86,7882.67,8215.4,198796.34
1521417600,8129.66,8725.6,8215.5,8623.14,171829.52
1521504000,8339.8,9056.23,8623.14,8920.71,131959.66
1521590400,8778.69,9184.51,8920.53,8911.35,109985.22
1521676800,8500.88,9107.0,8911.37,8724.98,116522.98
1521763200,8307.58,8935.88,8724.98,8934.8,109649.39
1521849600,8515.53,9036.23,8935.51,8548.06,93296.24
1521936000,8395.85,8690.36,8548.39,8472.84,76775.64
1522022400,7869.27,8521.04,8472.56,8152.2,131859.97
1522108800,7752.3,8226.24,8152.18,7808.48,116523.1
1522195200,7752.6,8117.79,7808.42,7959.78,82590.62
1522281600,6927.11,7983.77,7959.78,7106.62,185805.88
1522368000,6595.26,7280.27,7106.62,6853.76,229837.79
1522454400,6806.34,7228.4,6853.75,6943.77,129526.48
1522540800,6463.54,7056.22,6943.77,6835.84,131344.01
1522627200,6792.3,8218.66,6835.58,7074.6,106513.22
1522713600,7039.88,7528.97,7074.65,7434.3,122807.02
1522800000,6727.09,7442.42,7434.3,6815.5,123910.33
1522886400,6602.38,6933.66,6815.5,6790.45,114426.84
1522972800,6526.67,6869.53,6790.45,6634.86,90749.16
1523059200,6624.47,7083.85,6634.86,6917.2,81312.77
1523145600,6911.02,7132.03,6917.2,7049.92,60386.23
1523232000,6633.69,7204.28,7049.92,6789.53,130534.03
